Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
Focused Modulation of Brain Activity: A Narrative Review,"Biophysical, genetic, and biological neuromodulation approaches show promise for modulating dysfunctional brain activities, but addressing molecular targets is crucial for improving therapeutic precision.","A.K. Zhantleuova, A.S. Karimova, Anna P. Andreou, A. Kustubayeva, R. Giniatullin, B. Davletov",2025,3,"A wide range of strategies have been developed to modulate dysfunctional brain activities. This narrative review provides a comparative analysis of biophysical, genetic, and biological neuromodulation approaches with an emphasis on their known or unknown molecular targets and translational potential. The review incorporates data from both preclinical and clinical studies covering deep brain stimulation, transcranial electrical and magnetic stimulation, focused ultrasound, chemogenetics, optogenetics, magnetogenetics, and toxin-based neuromodulation. Each method was assessed based on specificity, safety, reversibility, and mechanistic clarity. Biophysical methods are widely used in clinical practice but often rely on empirical outcomes due to undefined molecular targets. Genetic tools offer cell-type precision in experimental systems but face translational barriers related to delivery and safety. Biological agents, such as botulinum neurotoxins, provide long-lasting yet reversible inhibition via well-characterized molecular pathways. However, they require stereotaxic injections and remain invasive. To overcome individual limitations and improve targeting, delivery, and efficacy, there is a growing interest in the synthesis of multiple approaches. This review highlights a critical gap in the mechanistic understanding of commonly used methods. Addressing this gap by identifying molecular targets may help to improve therapeutic precision. This concise review could be valuable for researchers looking to enter the evolving field of the neuromodulation of brain function.",literature review,Biomedicines,1,10.3390/biomedicines13081889,https://consensus.app/papers/focused-modulation-of-brain-activity-a-narrative-review-zhantleuova-karimova/ba824772e28e58de922497ecc8f5b037/
Neural network of bipolar disorder: Toward integration of neuroimaging and neurocircuit-based treatment strategies,"Bipolar disorder is linked to damage in the fronto-limbic network, changes in intrinsic brain networks, and impaired psychomotor function.","B. Bi, Dongfang Che, Yuyin Bai",2022,62,"Bipolar disorder (BD) is a complex psychiatric disorder characterized by dysfunctions in three domains including emotional processing, cognitive processing, and psychomotor dimensions. However, the neural underpinnings underlying these clinical profiles are not well understood. Based on the reported data, we hypothesized that (i) the core neuropathology in BD is damage in fronto-limbic network, which is associated with emotional dysfunction; (ii) changes in intrinsic brain network, such as sensorimotor network, salience network, default-mode network, central executive network are associated with impaired cognition function; and (iii) beyond the dopaminergic-driven basal ganglia-thalamo-cortical motor circuit modulated by other neurotransmitter systems, such as serotonin (subcortical-cortical modulation), the sensorimotor network and related motor function modulated by other non-motor networks such as the default-mode network are involved in psychomotor function. In this review, we propose a neurocircuit-based clinical characteristics and taxonomy to guide the treatment of BD. We draw on findings from neuropsychological and neuroimaging studies in BD and link variations in these clinical profiles to underlying neurocircuit dysfunctions. We consider pharmacological, psychotherapy, and neuromodulatory treatments that could target those specific neurocircuit dysfunctions in BD. Finally, it is suggested that the methods of testing the neurocircuit-based taxonomy and important limitations to this approach should be considered in future.",,Translational Psychiatry,1,10.1038/s41398-022-01917-x,https://consensus.app/papers/neural-network-of-bipolar-disorder-toward-integration-of-bi-che/39db526d4dc35f03b995abbc3a68fe51/
Neuromodulation in 2035,"Neuromodulation devices will expand in use by 2035 due to advances in understanding brain networks and technology, but neurologists will face ethical and economic challenges in ensuring access for a growing population of patients.","T. Denison, M. Morrell",2022,34,"Neuromodulation devices are approved in the United States for the treatment of movement disorders, epilepsy, pain, and depression, and are used off-label for other neurologic indications. By 2035, advances in our understanding of neuroanatomical networks and in the mechanism of action of stimulation, coupled with developments in material science, miniaturization, energy storage, and delivery, will expand the use of neuromodulation devices. Neuromodulation approaches are flexible and modifiable. Stimulation can be targeted to a dysfunctional brain focus, region, or network, and can be delivered as a single treatment, continuously, according to a duty cycle, or in response to physiologic changes. Programming can be titrated and modified based on the clinical response or a physiologic biomarker. In addition to keeping pace with clinical and technological developments, neurologists in 2035 will need to navigate complex ethical and economic considerations to ensure access to neuromodulation technology for a rapidly expanding population of patients. This article provides an overview of systems in use today and those that are anticipated and highlights the opportunities and challenges for the future, some of which are technical, but most of which will be addressed by learning about brain networks, and from rapidly growing experience with neuromodulation devices.",,Neurology,1,10.1212/wnl.0000000000013061,https://consensus.app/papers/neuromodulation-in-2035-denison-morrell/0603e0adee935252bd0ec14c1d6b4a43/
Genetics‐Based Targeting Strategies for Precise Neuromodulation,"Genetics-based precision neuromodulation allows for precise manipulation of cell activity, enabling new insights into neurological and psychiatric disorders and low-invasive treatment options.","Yuyuan He, Zhidong Wei, Jianda Xu, Fei Jin, Tong Li, Lili Qian, Juan Ma, Weiying Zheng, Negar Javanmardi, Ting Wang, Kangjian Sun, Zhang-Qi Feng",2025,1,"Genetics-based neuromodulation schemes are capable of selectively manipulating the activity of defined cell populations with high temporal-spatial resolution, providing unprecedented opportunities for probing cellular biological mechanisms, resolving neuronal projection pathways, mapping neural profiles, and precisely treating neurological and psychiatric disorders. Multimodal implementation schemes, which involve the use of exogenous stimuli such as light, heat, mechanical force, chemicals, electricity, and magnetic stimulation in combination with specific genetically engineered effectors, greatly expand their application space and scenarios. In particular, advanced wireless stimulation schemes have enabled low-invasive targeted neuromodulation through local delivery of navigable micro- and nanosized stimulators. In this review, the fundamental principles and implementation protocols of genetics-based precision neuromodulation are first introduced.The implementation schemes are systematically summarized, including optical, thermal, force, chemical, electrical, and magnetic stimulation, with an emphasis on those wireless and low-invasive strategies. Representative studies are dissected and analyzed for their advantages and disadvantages. Finally, the significance of genetics-based precision neuromodulation is emphasized and the open challenges and future perspectives are concluded.",literature review,Advanced Science,1,10.1002/advs.202413817,https://consensus.app/papers/genetics%E2%80%90based-targeting-strategies-for-precise-he-wei/2db5fdb0951b5130b6e9fdd9f44af677/
Connecting Circuits with Networks in Addiction Neuroscience: A Salience Network Perspective,"Translation of human functional networks to nonhuman animals can help uncover circuit-level mechanisms in addiction, offering insights into how cortical networks function.","Adriana K. Cushnie, Wei-jun Tang, Sarah R. Heilbronner",2023,22,"Human neuroimaging has demonstrated the existence of large-scale functional networks in the cerebral cortex consisting of topographically distant brain regions with functionally correlated activity. The salience network (SN), which is involved in detecting salient stimuli and mediating inter-network communication, is a crucial functional network that is disrupted in addiction. Individuals with addiction display dysfunctional structural and functional connectivity of the SN. Furthermore, while there is a growing body of evidence regarding the SN, addiction, and the relationship between the two, there are still many unknowns, and there are fundamental limitations to human neuroimaging studies. At the same time, advances in molecular and systems neuroscience techniques allow researchers to manipulate neural circuits in nonhuman animals with increasing precision. Here, we describe attempts to translate human functional networks to nonhuman animals to uncover circuit-level mechanisms. To do this, we review the structural and functional connections of the salience network and its homology across species. We then describe the existing literature in which circuit-specific perturbation of the SN sheds light on how functional cortical networks operate, both within and outside the context of addiction. Finally, we highlight key outstanding opportunities for mechanistic studies of the SN.",,International Journal of Molecular Sciences,1,10.3390/ijms24109083,https://consensus.app/papers/connecting-circuits-with-networks-in-addiction-cushnie-tang/49f05decb70459e6a0b63f4359611999/
"Concerning neuromodulation as treatment of neurological and neuropsychiatric disorder: Insights gained from selective targeting of the subthalamic nucleus, para-subthalamic nucleus and zona incerta in rodents","Neuromodulation, such as deep brain stimulation, shows potential in treating neurological and neuropsychiatric disorders, but overcoming side-effects and reaching its full therapeutic potential requires further research.","A. Ricci, Eleonora Rubino, Gian Pietro Serra, Åsa Wallén-Mackenzie",2024,8,,literature review,Neuropharmacology,1,10.1016/j.neuropharm.2024.110003,https://consensus.app/papers/concerning-neuromodulation-as-treatment-of-neurological-ricci-rubino/9e0145717ad9583c85931eeee6e91cf7/
A brain network model for depression: From symptom understanding to disease intervention,"Depression is linked to four brain networks, with antidepressant treatment restoring connectivity and improving symptoms.","Bao-Juan Li, Karl J. Friston, M. Mody, Huaning Wang, Hongbing Lu, De-Wen Hu",2018,267,"Understanding the neural substrates of depression is crucial for diagnosis and treatment. Here, we review recent studies of functional and effective connectivity in depression, in terms of functional integration in the brain. Findings from these studies, including our own, point to the involvement of at least four networks in patients with depression. Elevated connectivity of a ventral limbic affective network appears to be associated with excessive negative mood (dysphoria) in the patients; decreased connectivity of a frontal-striatal reward network has been suggested to account for loss of interest, motivation, and pleasure (anhedonia); enhanced default mode network connectivity seems to be associated with depressive rumination; and diminished connectivity of a dorsal cognitive control network is thought to underlie cognitive deficits especially ineffective top-down control of negative thoughts and emotions in depressed patients. Moreover, the restoration of connectivity of these networks-and corresponding symptom improvement-following antidepressant treatment (including medication, psychotherapy, and brain stimulation techniques) serves as evidence for the crucial role of these networks in the pathophysiology of depression.",literature review,CNS Neuroscience & Therapeutics,1,10.1111/cns.12998,https://consensus.app/papers/a-brain-network-model-for-depression-from-symptom-li-friston/197bbbfeac2d56638676f7d317f57563/
Advances in magnetic field approaches for non-invasive targeting neuromodulation,"Magnetic field-based neuromodulation shows promise as a non-invasive, highly targeted therapeutic strategy for conditions like epilepsy, movement disorders, and neurodegenerative diseases, with potential applications in chronic pain management.","Mozhgan Alipour, Maryam Abdolmaleki, Y. Shabanpour, Alireza Zali, F. Ashrafi, S. Nohesara, Behnam Hajipour-Verdom",2025,3,"Neuromodulation, the targeted regulation of nerve activity, has emerged as a promising approach for treating various neurological and psychiatric disorders. While deep brain stimulation has shown efficacy, its invasive nature poses substantial risks, including surgical complications and high costs. In contrast, non-invasive neuromodulation techniques, particularly those utilizing magnetic fields (MFs), have gained increasing attention as safer, more accessible alternatives. Magnetothermal stimulation has emerged as an innovative method that enables precise modulation of neuronal ion channels through localized heating induced by interaction of MF with biological tissues. This review discusses the principles of MF-based neuromodulation and highlights the critical role of ion channels in synaptic transmission, and the therapeutic potential of these advanced techniques. Additionally, it highlights key challenges such as spatial targeting precision, safety considerations, and the long-term effects of magnetic exposure on brain function. The findings presente the promise of MF-based neuromodulation as a non-invasive, highly targeted therapeutic strategy for conditions such as epilepsy, movement disorders, and neurodegenerative diseases, with potential applications in chronic pain management and future clinical interventions.",,Frontiers in Human Neuroscience,2,10.3389/fnhum.2025.1489940,https://consensus.app/papers/advances-in-magnetic-field-approaches-for-noninvasive-alipour-abdolmaleki/e2831df760725bb4be06251f95c4f4f8/
Circuits for State-Dependent Modulation of Locomotion,"State-dependent modulation of locomotion involves complex interactions of multiple brain circuits, with individual circuit elements playing a crucial role in initiation, maintenance, and termination.","A. Pernía-Andrade, N. Wenger, M. S. Esposito, P. Tovote",2021,29,"Brain-wide neural circuits enable bi- and quadrupeds to express adaptive locomotor behaviors in a context- and state-dependent manner, e.g., in response to threats or rewards. These behaviors include dynamic transitions between initiation, maintenance and termination of locomotion. Advances within the last decade have revealed an intricate coordination of these individual locomotion phases by complex interaction of multiple brain circuits. This review provides an overview of the neural basis of state-dependent modulation of locomotion initiation, maintenance and termination, with a focus on insights from circuit-centered studies in rodents. The reviewed evidence indicates that a brain-wide network involving excitatory circuit elements connecting cortex, midbrain and medullary areas appears to be the common substrate for the initiation of locomotion across different higher-order states. Specific network elements within motor cortex and the mesencephalic locomotor region drive the initial postural adjustment and the initiation of locomotion. Microcircuits of the basal ganglia, by implementing action-selection computations, trigger goal-directed locomotion. The initiation of locomotion is regulated by neuromodulatory circuits residing in the basal forebrain, the hypothalamus, and medullary regions such as locus coeruleus. The maintenance of locomotion requires the interaction of an even larger neuronal network involving motor, sensory and associative cortical elements, as well as defined circuits within the superior colliculus, the cerebellum, the periaqueductal gray, the mesencephalic locomotor region and the medullary reticular formation. Finally, locomotor arrest as an important component of defensive emotional states, such as acute anxiety, is mediated via a network of survival circuits involving hypothalamus, amygdala, periaqueductal gray and medullary premotor centers. By moving beyond the organizational principle of functional brain regions, this review promotes a circuit-centered perspective of locomotor regulation by higher-order states, and emphasizes the importance of individual network elements such as cell types and projection pathways. The realization that dysfunction within smaller, identifiable circuit elements can affect the larger network function supports more mechanistic and targeted therapeutic intervention in the treatment of motor network disorders.",literature review,Frontiers in Human Neuroscience,2,10.3389/fnhum.2021.745689,https://consensus.app/papers/circuits-for-statedependent-modulation-of-locomotion-pern%C3%ADa-andrade-wenger/466907ca9b8c563fb472cd01f081c59b/
Diffusion and functional MRI in surgical neuromodulation,"Advanced imaging techniques, such as diffusion MRI and functional MRI, can optimize surgical neuromodulation outcomes and hold promise for treating other neurological and psychiatric conditions.","Nicole A. Silva, Jessica Barrios-Martinez, Fang-Cheng Yeh, M. Hodaie, Daniel Roque, V. Boerwinkle, Vibhor Krishna",2024,5,,,Neurotherapeutics,1,10.1016/j.neurot.2024.e00364,https://consensus.app/papers/diffusion-and-functional-mri-in-surgical-neuromodulation-silva-barrios-martinez/736cc7fa85d356af80ac7ea390d5240a/
Neuromodulation of metabolic functions: from pharmaceuticals to bioelectronics to biocircuits,"Neuromodulation of metabolic functions can potentially target metabolic diseases like diabetes and chronic inflammatory diseases, offering a new approach to treating these conditions.","B. Seicol, Sebastian Bejarano, Nicholas Behnke, Liang Guo",2019,17,"Neuromodulation of central and peripheral neural circuitry brings together neurobiologists and neural engineers to develop advanced neural interfaces to decode and recapitulate the information encoded in the nervous system. Dysfunctional neuronal networks contribute not only to the pathophysiology of neurological diseases, but also to numerous metabolic disorders. Many regions of the central nervous system (CNS), especially within the hypothalamus, regulate metabolism. Recent evidence has linked obesity and diabetes to hyperactive or dysregulated autonomic nervous system (ANS) activity. Neural regulation of metabolic functions provides access to control pathology through neuromodulation. Metabolism is defined as cellular events that involve catabolic and/or anabolic processes, including control of systemic metabolic functions, as well as cellular signaling pathways, such as cytokine release by immune cells. Therefore, neuromodulation to control metabolic functions can be used to target metabolic diseases, such as diabetes and chronic inflammatory diseases. Better understanding of neurometabolic circuitry will allow for targeted stimulation to modulate metabolic functions. Within the broad category of metabolic functions, cellular signaling, including the production and release of cytokines and other immunological processes, is regulated by both the CNS and ANS. Neural innervations of metabolic (e.g. pancreas) and immunologic (e.g. spleen) organs have been understood for over a century, however, it is only now becoming possible to decode the neuronal information to enable exogenous controls of these systems. Future interventions taking advantage of this progress will enable scientists, engineering and medical doctors to more effectively treat metabolic diseases.",,Journal of Biological Engineering,2,10.1186/s13036-019-0194-z,https://consensus.app/papers/neuromodulation-of-metabolic-functions-from-seicol-bejarano/318869b06837591d9ad08e0d40f23a34/
Localizing targets for neuromodulation in drug-resistant epilepsy using intracranial EEG and computational model,Our novel approach using intracranial EEG and computational models effectively localizes optimal targets for neuromodulation therapy in drug-resistant epilepsy patients.,"Yang Liu, Chunsheng Li",2022,2,"Neuromodulation has emerged as a promising technique for the treatment of epilepsy. The target for neuromodulation is critical for the effectiveness of seizure control. About 30% of patients with drug-resistant epilepsy (DRE) fail to achieve seizure freedom after surgical intervention. It is difficult to find effective brain targets for neuromodulation in these patients because brain regions are damaged during surgery. In this study, we propose a novel approach for localizing neuromodulatory targets, which uses intracranial EEG and multi-unit computational models to simulate the dynamic behavior of epileptic networks through external stimulation. First, we validate our method on a multivariate autoregressive model and compare nine different methods of constructing brain networks. Our results show that the directed transfer function with surrogate analysis achieves the best performance. Intracranial EEGs of 11 DRE patients are further analyzed. These patients all underwent surgery. In three seizure-free patients, the localized targets are concordant with the resected regions. For the eight patients without seizure-free outcome, the localized targets in three of them are outside the resected regions. Finally, we provide candidate targets for neuromodulation in these patients without seizure-free outcome based on virtual resected epileptic network. We demonstrate the ability of our approach to locate optimal targets for neuromodulation. We hope that our approach can provide a new tool for localizing patient-specific targets for neuromodulation therapy in DRE.",,Frontiers in Physiology,2,10.3389/fphys.2022.1015838,https://consensus.app/papers/localizing-targets-for-neuromodulation-in-drugresistant-liu-li/681845fa284650e4a070ce94ff52f116/
Dissecting neural circuits for multisensory integration and crossmodal processing,"Neuromodulation techniques have advanced our understanding of multisensory integration and crossmodal processing, but more research is needed to fully understand how distributed activity across multisensory networks supports perception.","Jeffrey M. Yau, G. DeAngelis, D. Angelaki",2015,63,"We rely on rich and complex sensory information to perceive and understand our environment. Our multisensory experience of the world depends on the brain's remarkable ability to combine signals across sensory systems. Behavioural, neurophysiological and neuroimaging experiments have established principles of multisensory integration and candidate neural mechanisms. Here we review how targeted manipulation of neural activity using invasive and non-invasive neuromodulation techniques have advanced our understanding of multisensory processing. Neuromodulation studies have provided detailed characterizations of brain networks causally involved in multisensory integration. Despite substantial progress, important questions regarding multisensory networks remain unanswered. Critically, experimental approaches will need to be combined with theory in order to understand how distributed activity across multisensory networks collectively supports perception.",,Philosophical Transactions of the Royal Society B: Biological Sciences,,10.1098/rstb.2014.0203,https://consensus.app/papers/dissecting-neural-circuits-for-multisensory-integration-yau-deangelis/6cdb080362ee53e4b10b776727b5e243/
NEUROMODULATION AS A NOVEL APPROACH IN NEURO-ONCOLOGY,"Neuromodulation shows potential in neuro-oncology, potentially enhancing drug delivery, reducing inflammation, and enhancing immunotherapy approaches.","Ashwin Kumaria, Ahmad Kamaludin, K. Ashkan",2025,0,"
 
 
 Neuro-oncology faces signiﬁcant challenges in treating malignant brain tumours due to their aggressive nature and resistance to conventional therapies. Neuromodulation, which involves the targeted regulation of neural activity using electrical, magnetic or chemical stimulation, has emerged as a potential adjunct or alternative strategy in cancer treatment. Here we explore the applications, mechanisms, and therapeutic potential of neu- romodulation in neuro-oncology.
 
 
 
 A systematic review of recent literature was conducted to analyse the role of neuromodulation in brain tumour management. Various techniques, including transcranial magnetic stimulation (TMS), deep brain stimulation (DBS), vagus nerve stimulation (VNS) and tumour-treating ﬁelds (TTFields), were evaluated in terms of their eﬃcacy, mechanisms of action and clinical applications. Preclinical and clinical studies were reviewed to de- termine the impact of neuromodulation on tumour progression, neuroprotection and symptom management.
 
 
 
 Emerging evidence suggests that electrical ﬁeld therapy disrupts cancer cell mitosis, promotes autophagy, im- pairs DNA repair and migration in tumour cells, thereby prolonging survival in glioblastoma. TMS and DBS may represent alternative methods of delivering these effects. Additionally, neuromodulation may enhance drug delivery by modulating the blood-brain barrier, attenuate tumour-associated inﬂammation and synergise immunotherapy approaches.
 Neuromodulation associated changes in neurotransmitter signalling may be a further strategy to inhibit tumour propagation. Further, VNS and spinal cord stimulation may have roles in tumour control beyond the central nervous system. However, further large-scale studies are needed to conﬁrm these ﬁndings.
 
 
 
 Neuromodulation represents a promising adjunctive approach in neuro-oncology, with potential applications in tumour control. Continued research is essential to identify treatment regimes, identify patient-speciﬁc beneﬁts, and integrate neuromodulation into oncological care.
",systematic review,Neuro-Oncology,1,10.1093/neuonc/noaf185.099,https://consensus.app/papers/neuromodulation-as-a-novel-approach-in-neurooncology-kumaria-kamaludin/fd6f9ef71e125a6788cdeae94935ea51/
Editorial: Neuromodulation of executive circuits,"Neuromodulation plays a crucial role in executive function, but its precise role and its impact on cognitive performance remain unclear.","M. Malmierca, Livia de Hoz, M. Victoria Puig, Allan T. Gulledge, E. Lambe, G. González-Burgos",2015,11,"The executive control of behavior involves functional interactions between the frontal cortex and other cortical and subcortical brain regions, in particular with the striatum and thalamus, via parallel fronto-striatal-thalamic loops. In all of these brain regions, neuronal excitability, and synaptic transmission are regulated by serotonergic, dopaminergic, cholinergic, adrenergic, and peptidergic neuromodulatory afferent systems that are critical for optimizing cognitive task performance. By contrast, dysfunctional neuromodulation of fronto-striatal circuits is implicated in various neuropsychiatric and neurodegenerative disorders, such as schizophrenia, depression, and Parkinson's disease. Yet, despite decades of intense investigation, it remains poorly understood how neuromodulators influence the flow of neural activity in fronto-striatal circuits to facilitate cognition. Crucial pending questions in the field include (but are not limited to): (1) How the heterogeneity of neuron subtypes and their connectivity contribute to the complexity of the underlying cellular microcircuits that are substrates of neuromodulator effects. (2) Whether the numerous receptor subtypes mediating the neuromodulator effects have cell-type specific expression patterns and effects, (3) How multiple intracellular signaling cascades mediating neuromodulator receptor effects interact in individual neurons, (4) How do neuromodulators control the strength and plasticity of synaptic inputs onto different neuron types in fronto-striatal circuits, and (5) To what extent cellular, circuit and system level effects of neuromodulators are conserved across species. This Research Topic includes 10 original research articles and seven review articles addressing the role of neuromodulation in executive function at multiple levels of analysis, ranging from the activity of single voltage-dependent ion channels to computational models of network interactions in cortex-striatum-thalamus systems.",literature review,Frontiers in Neural Circuits,1,10.3389/fncir.2015.00058,https://consensus.app/papers/editorial-neuromodulation-of-executive-circuits-malmierca-hoz/7d4a06f2151e5f1f9ac4c1c530447aa6/
Research hotspots and frontiers of neuromodulation technology in the last decade: a visualization analysis based on the Web of Science database,"Neuromodulation technology has advanced rapidly in the last decade, with deep brain stimulation and neuroplasticity theory being key areas of focus for future research.","Yanpei Liu, Qian Zhang, Haoran Zhang, Yun Xiang, Hui Wang",2025,1,"Since the 1990s, neuromodulation technology has experienced rapid advancements, providing new therapeutic approaches for clinical rehabilitation in neurological disorders. The objective of this study is to utilize CiteSpace and VOSviewer to investigate the current research status, key topics, and future trends in the field of neuromodulation technology over the past decade. Relevant literature in the field of neuromodulation technology published in Web of Science database from January 1, 2014 to June 18, 2024 were retrieved, and imported into CiteSpace and VOSviewer for visualization. VOSviewer was used for counties, institutions, authors and keywords analyses. CiteSpace was used for presentation visualization analysis of co-cited references, keywords clusters and bursts. This study encompasses a total of 1,348 relevant publications, with the number of publications showing an increasing trend year by year. The most significant growth was observed between 2020 and 2021. The United States, China and the United Kingdom are the three leading countries with high output in this regard. The top three institutions in terms of the publication volume are Harvard Medical School, the University of Toronto and Stanford University. Keyword co-occurrence and cluster analysis identified that deep brain stimulation, transcranial magnetic stimulation, transcranial direct current stimulation, and focused ultrasound stimulation are the most widely used central nerve stimulation techniques in neuromodulation. The treatment of intractable chronic pain also emerged as a key focus within neuromodulation techniques. The recent keywords bursts included terms such as recovery, movement, nucleus, modeling and plasticity, suggesting that the future research trend will be centered on these areas. In conclusion, neuromodulation technology is garnering increasing attention from researchers and is currently widely used in brain diseases. Future research is expected to delve deeper, particularly into exploring deep brain structure stimulation targets and restoring motor function based on neuroplasticity theory.",,Frontiers in Human Neuroscience,2,10.3389/fnhum.2025.1574721,https://consensus.app/papers/research-hotspots-and-frontiers-of-neuromodulation-liu-zhang/3b6af55f2458593794f3dea68aa4e4e1/
Methods for inferring neural circuit interactions and neuromodulation from local field potential and electroencephalogram measures,"This review highlights the development of computational tools to estimate neural parameters from aggregate neural signals, aiding in neuroscientific and clinical applications.","P. Martínez-Cañada, Shahryar Noei, S. Panzeri",2021,9,"Electrical recordings of neural mass activity, such as local field potentials (LFPs) and electroencephalograms (EEGs), have been instrumental in studying brain function. However, these aggregate signals lack cellular resolution and thus are not easy to be interpreted directly in terms of parameters of neural microcircuits. Developing tools for a reliable estimation of key neural parameters from these signals, such as the interaction between excitation and inhibition or the level of neuromodulation, is important for both neuroscientific and clinical applications. Over the years, we have developed tools based on neural network modeling and computational analysis of empirical data to estimate neural parameters from aggregate neural signals. This review article gives an overview of the main computational tools that we have developed and employed to invert LFPs and EEGs in terms of circuit-level neural phenomena, and outlines future challenges and directions for future research.",,Brain Informatics,1,10.1186/s40708-021-00148-y,https://consensus.app/papers/methods-for-inferring-neural-circuit-interactions-and-mart%C3%ADnez-ca%C3%B1ada-noei/beca2e2e35ca5c21b78db6ccc4d40988/
Advances in the application of temporal interference stimulation: a scoping review,"Temporal interference stimulation (TIS) shows potential for treating a wide range of central nervous system disorders, with potential benefits for neurodegenerative and neuropsychiatric disorders.","Jiaojiao Peng, Zhanhong Du, Yi Piao, XianXian Yu, Kaiqi Huang, Yan Tang, Pengfei Wei, Pu Wang",2025,2,"Neuromodulation is an emerging technology that combines biomedical engineering and neuroscience to modulate the nervous system using implantable or non-implantable devices, which have proven effective in treating neurodegenerative and neuropsychiatric disorders. There is an urgent need to develop a noninvasive deep brain stimulation technique that combines the advantages of safety, non-invasiveness, and precise deep brain stimulation to address the invasiveness and lack of focus of existing neuromodulation techniques. Our primary goal is to better understand the progress of research on the application of temporal interference stimulation (TIS). A scoping review was conducted following Arksey and O'Malley's methodological framework, utilizing the databases PubMed, Web of Science, and EMbase. Original research of any study design, focused on the topic and published in English from the inception of each database until June 2024, was included. A total of 708 studies were identified in the databases, with 33 studies ultimately included. The literature primarily addresses the development and application of TIS. All studies demonstrate that TIS can effectively target deep areas of the brain. TIS can effectively penetrate the cerebral cortex and modulate neural activity in deep brain regions. Additionally, TIS shows potential for treating a wide range of central nervous system (CNS) disorders, though the underlying mechanisms remain unknown. This scoping review provides a series of recommendations to guide future research in exploring the applications of TIS.",systematic review,Frontiers in Human Neuroscience,2,10.3389/fnhum.2025.1536906,https://consensus.app/papers/advances-in-the-application-of-temporal-interference-peng-du/6757a26305cd51179098e0837e910d99/
The Duality of Astrocyte Neuromodulation: Astrocytes Sense Neuromodulators and Are Neuromodulators,Astrocytes mediate the effects of neuromodulators and also act as neuromodulators to optimize neural network homeostasis and information processing in the brain.,"Justin Lines, Michelle Corkrum, J. Aguilar, A. Araque",2025,7,"Neuromodulation encompasses different processes that regulate neuronal and network function. Classical neuromodulators originating from long-range nuclei, such as acetylcholine, norepinephrine, or dopamine, act with a slower time course and wider spatial range than fast synaptic transmission and action potential firing. Accumulating evidence in vivo indicates that astrocytes, which are known to actively participate in synaptic function at tripartite synapses, are also involved in neuromodulatory processes. The present article reviews recent findings obtained in vivo indicating that astrocytes express receptors for neuromodulators that elevate their internal calcium and stimulate the release of gliotransmitters, which regulate synaptic and network function, and hence mediate, at least partially, the effects of neuromodulators. In addition, we propose that astrocytes act in local support of neuromodulators by spatially and temporally integrating neuronal and neuromodulatory signals to regulate neural network function. The presence of astrocyte-neuron hysteresis loops suggests astrocyte-neuron interaction at tripartite synapses scales up to astrocyte-neuronal networks that modulate neural network function. We finally propose that astrocytes sense the environmental conditions, including neuromodulators and network function states, and provide homeostatic control that maximizes the dynamic range of neural network activity. In summary, we propose that astrocytes are critical in mediating the effects of neuromodulators, and they also act as neuromodulators to provide neural network homeostasis thus optimizing information processing in the brain. Hence, astrocytes sense ongoing neuronal activity along with neuromodulators and, acting as neuromodulators, inform the neurons about the state of the internal system and the external world.",,Journal of Neurochemistry,1,10.1111/jnc.70054,https://consensus.app/papers/the-duality-of-astrocyte-neuromodulation-astrocytes-lines-corkrum/f4e6b16c1413501a9a73cf9bfe6a190b/
